asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
B07DHWNGFT,"United Scientific™ 33311 | Laboratory Grade Polypropylene Wide Mouth Reagent Bottle | Designed for Laboratories, Classrooms, or Storage at Home | 30mL (1oz) Capacity | Pack of 12",https://m.media-amazon.com/images/I/31B6k5AeifL._AC_UL320_.jpg,https://www.amazon.com/dp/B07DHWNGFT,4.7,0,9.4,11.06,150,True,200
B07H4BGY1W,"Chamberlain Smart Garage Door Opener - Wall Mounted - myQ Smartphone Controlled - Ultra Quiet Space Saving Direct Drive, Model RJO20, Black",https://m.media-amazon.com/images/I/51Gb-i6ZKiL._AC_UY218_.jpg,https://www.amazon.com/dp/B07H4BGY1W,4.6,0,462.79,0.0,187,False,0
B08JGNS4H6,"Recoppa Compatible for Scrunchie Apple Watch Band 38mm 41mm 42mm 40mm 44mm 45mm Cute Print Elastic Watch Bands Women Bracelet Strap for Apple iWatch Series 7 6 5 4 3 2 1 SE(3 Pack, 38/40/41mm-Small)",https://m.media-amazon.com/images/I/71ZJR97K-YL._AC_UL320_.jpg,https://www.amazon.com/dp/B08JGNS4H6,4.4,12258,13.99,0.0,68,False,0
B0C4KVQGCV,"Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope (20x-200x) for Kids & Adults, Portable Travel Telescope with Tripod Phone Adapter, Remote Control, Easy to Use",https://m.media-amazon.com/images/I/613jiasEFwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4KVQGCV,4.7,0,74.99,0.0,155,True,0
B0C6ZFV6FY,"NAVY PEONY Iconic New York State Travel Stickers (28 Pieces) - Gouache Style, USA-Themed, Waterproof | America Vacation Stickers for Scrapbooking, Journals, Suitcase",https://m.media-amazon.com/images/I/91slx+jfXFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C6ZFV6FY,5.0,0,9.99,0.0,5,False,100
B0C4N99FGY,"Telescope 90mm Aperture 900mm - High Precision Adjustment Vertisteel AZ Mount Base, Magnification 45-450x, Wireless Remote, Phone Adapter - Ideal for Astronomy Enthusiasts and Beginners (Black)",https://m.media-amazon.com/images/I/71RCmXia5XL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4N99FGY,4.5,0,249.99,319.99,155,True,0
B0BZC6NFJF,"Luggage Suitcase with Spinner Wheels, Hardside Checked Luggage with TSA Lock, 24 Inch Medium Travel Suitcase (BLACK,4PCS)",https://m.media-amazon.com/images/I/61URRBKoDCL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BZC6NFJF,5.0,0,79.0,90.95,104,False,0
B09836V1BD,"Telescope for Kids & Adults - 70mm Aperture 500mm AZ Mount Fully Multi-Coated Optics Astronomical refracting Portable Telescopes, with Tripod Phone Adapter, Carrying Bag, Remote Control",https://m.media-amazon.com/images/I/61GxVcRM-rL._AC_UL320_.jpg,https://www.amazon.com/dp/B09836V1BD,4.3,0,94.99,169.99,155,True,0
B09W9L3GT1,"376pcs Hardware Nails Assortment kit with 2"" Nails & 8oz Claw Hammer, Nails for Hanging Pictures, Picture Hanging Nails, Finishing nails, Wall nails, Small nails, Wood nails and Hammer",https://m.media-amazon.com/images/I/71CpM9vhG+L._AC_UL320_.jpg,https://www.amazon.com/dp/B09W9L3GT1,4.7,0,15.86,0.0,207,True,500
B09B2SKL1V,"Craftsman 1/2 HP Smart myQ Smartphone Controlled-Belt Drive, Wireless Keypad Included, Model CMXEOCG572, Red Garage Door Opener",https://m.media-amazon.com/images/I/61zAJQWIg4L._AC_UY218_.jpg,https://www.amazon.com/dp/B09B2SKL1V,4.6,0,209.0,0.0,187,False,0
B0117SX5GY,LiftMaster 828LM Garage Door Opener,https://m.media-amazon.com/images/I/61gC5aP78pL._AC_UY218_.jpg,https://www.amazon.com/dp/B0117SX5GY,4.5,0,0.0,0.0,187,False,0
B0C4L4FKR7,"Talking Flash Cards, Educational Toys for Kids to Learn English with 224 Words, Pocket Speech Toys, Autism Sensory Toys, Montessori Toys for Toddlers Boys Girls 1 2 3 4 5 6 Year Old(Yellow)",https://m.media-amazon.com/images/I/81aeGti639L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4L4FKR7,5.0,0,18.99,0.0,224,False,100
B094SS2MM5,"Mountain Products Quadro Pro Hardcase, 22, Deep Navy",https://m.media-amazon.com/images/I/71ieblsSXtL._AC_UL320_.jpg,https://www.amazon.com/dp/B094SS2MM5,5.0,0,188.13,249.95,104,False,0
B07D3DW6BB,LiftMaster 827LM Ceiling or Wall Mounted MyQ Remote 1500 Lumens LED Garage Light with Timer-to-Close,https://m.media-amazon.com/images/I/61kyv+84qKL._AC_UY218_.jpg,https://www.amazon.com/dp/B07D3DW6BB,4.5,0,82.99,0.0,187,False,0
B09W8NJDPZ,"Tungsten Cube Metal Density Cubes Pure Metal High Density Element Cube for Element Collections Lab Experiment Material Hobbies Heavy Small Objects Experience (Tungsten, 1 Inch)",https://m.media-amazon.com/images/I/71QVA4YaVSL._AC_UL320_.jpg,https://www.amazon.com/dp/B09W8NJDPZ,4.7,0,15.99,0.0,155,True,200
B0CDVW9N4X,"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12"" x 8ft HTV Vinyl for Shirts, Iron on Vinyl for Cricut & Cameo - Easy to Cut & Weed for Heat Vinyl Design (Burgundy, 12"" x 8 FT)",https://m.media-amazon.com/images/I/518MyDUO6+L._AC_UL320_.jpg,https://www.amazon.com/dp/B0CDVW9N4X,4.6,0,7.99,0.0,5,True,0
B0BMVDWS4M,"LCD Digital Microscope,5.5 Inch 1080P 10 Megapixels,1-1000X Magnification Zoom Wireless USB Stereo Microscope Camera,10MP Camera Video Recorder with HD Screen",https://m.media-amazon.com/images/I/71T3S+1aEYL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BMVDWS4M,4.4,0,59.99,69.99,155,True,0
